new_origin,count
https://www.jiqizhixin.com,234
https://www.techbang.com,73
https://www.ithome.com.tw,46
https://www.thenewslens.com,38
Others,28
https://chinese.engadget.com,20
https://www.blocktempo.com,14
https://applealmond.com,13
https://www.storm.mg,11
http://3smarket-info.blogspot.com,6
https://softnshare.com,6
https://unwire.hk,6
https://pansci.asia,5
